label,area_pixels,area_scaled,equivalent_diameter,perimeter,circularity,width,height,aspect_ratio,centroid_x,centroid_y,eccentricity,solidity,extent
119,3826.0,3826.0,69.79551918394714,278.5512985522207,0.6196471476786722,53.0,108.0,2.0377358490566038,56.12415054887611,524.8557239937271,0.9081756617827917,0.887497100440733,0.6684136967155835
120,10376.0,10376.0,114.93969512823692,437.0609665440988,0.6825834960649503,116.0,138.0,1.1896551724137931,114.4225134926754,552.953064764842,0.7025121549156315,0.9087405850411631,0.6481759120439781
121,3139.0,3139.0,63.21945057435786,221.4213562373095,0.8045669091664996,67.0,72.0,1.0746268656716418,760.8043963045556,547.1713921631093,0.5318302726028653,0.9655490618271301,0.6507048092868989
122,854.0,854.0,32.97493853222215,231.79898987322335,0.1997306229535333,9.0,112.0,12.444444444444445,3.4578454332552693,549.7201405152225,0.9972534111119342,0.9374313940724479,0.8472222222222222
123,861.0,861.0,33.109805919349256,208.72792206135784,0.24834299606029703,9.0,100.0,11.11111111111111,11.912891986062718,553.349593495935,0.9956411886812588,0.9930795847750865,0.9566666666666667
124,3880.0,3880.0,70.2863388829752,421.60512242138304,0.2743025417871674,58.0,141.0,2.4310344827586206,26.365721649484534,583.7092783505154,0.9569942517686306,0.6649528706083976,0.4744436292492052
125,8928.0,8928.0,106.61839735897146,402.80108191427644,0.6914850401253143,119.0,112.0,1.0625,1953.5418906810037,557.4540770609319,0.2625091795264821,0.9493832411739686,0.6698679471788715
126,23113.0,23113.0,171.547036108071,788.6316010800756,0.4670010232050588,186.0,204.0,1.096774193548387,616.199411586553,561.5368840046727,0.6619533658088936,0.9216444692559215,0.609134514020662
127,16270.0,16270.0,143.9291749189201,610.3229432149743,0.548880781284912,166.0,163.0,1.01840490797546,876.1012292562999,573.940749846343,0.7334780144297315,0.9215519682809402,0.6013009091581049
128,9000.0,9000.0,107.04744696916627,390.8599564173221,0.7403038618783238,129.0,106.0,1.2169811320754718,365.89344444444447,581.699,0.6403418117504133,0.9279307145066502,0.6581834137779728
129,19324.0,19324.0,156.8568805072391,671.5655839020935,0.5384309671728829,164.0,178.0,1.0853658536585367,2087.3489960670668,576.7233492030635,0.4967907117902496,0.9201904761904762,0.661962181419567
